"PROD" "CVRG" "DNST" "ISLT" "PRXM" "CNNC" "SHEI" "IIND"
"1" 1477.614 27.543 1.775 158.092 1.453 26.187 0.6401 4.169
"2" 1186.492 9.043 2.733 154.977 0.549 22.299 0.6937 11.92
"3" 1960.272 17.37 2.891 152.798 0.957 23.895 0.6381 4.56
"4" 2064.836 12.226 2.499 119.181 30.649 22.666 0.6813 6.593
"5" 815.439 7.723 2.413 148.765 2.549 20.817 0.6184 14.713
"6" 2803.738 11.458 2.825 142.861 4.692 25.577 0.5854 6.802
"7" 1750.973 19.614 3.531 129.81 23.222 24.387 0.6941 3.404
"8" 1767.478 13.622 2.502 128.378 9.429 24.705 0.7393 6.466
"9" 2549.575 19.836 3.133 126.658 4.559 23.173 0.6379 4.285
"10" 2804.721 23.48 3.057 135.463 20.574 25.027 0.9233 3.606
"11" 1769.146 9.436 2.492 160.399 14.866 31.474 0.6673 10.34
"12" 1807.281 14.117 1.93 175.12 40.64 26.134 0.4311 5.964
"13" 1450.677 16.077 3.701 170.681 7.522 23.933 0.7025 5.833
"14" 1740.027 16.637 1.209 180.869 0.548 24.289 0.4798 5.647
"15" 1747.637 14.315 1.368 205.396 1.219 25.087 0.3978 12.89
"16" 1785.714 10.793 1.372 153.374 3.709 26.142 0.6162 12.62
"17" 1714.09 9.187 2.099 142.802 6.069 22.454 0.7332 12.38
"18" 1613.192 8.269 2.654 191.151 2.92 23.265 0.6273 7.869
"19" 2215.19 17.555 3.697 123.792 4.252 25.825 0.681 6.613
"20" 1208.178 29.694 2.732 110.177 31.086 22.49 0.8295 1.846
"21" 2089.136 17.152 3.624 124.729 4.542 22.98 0.8047 4.621
"22" 2026.685 39.02 2.988 91.928 30.171 27.425 0.8066 2.252
"23" 1977.774 48.429 2.503 107.779 66.934 27.5 0.8045 1.179
