SU;Code;City;Latitude;Longitude;Prod_bags;Prod_kg;Area_ha;ProdArea_bags;ProdArea_kg;HandlingScore;Varieties;PLANDF_1KM;PLANDF_2KM;PLANDF_3KM;PLANDF_4KM;PLANDF_5KM;CAF_1KM;CAF_2KM;CAF_3KM;CAF_4KM;CAF_5KM; NPF_1KM; NPF_2KM; NPF_3KM; NPF_4KM; NPF_5KM;PDF_1KM;PDF_2KM;PDF_3KM;PDF_4KM;PDF_5KM;TEF_1KM;TEF_2KM;TEF_3KM;TEF_4KM;TEF_5KM; EDF_1KM; EDF_2KM; EDF_3KM; EDF_4KM; EDF_5KM; PARAF_MN_1KM; PARAF_MN_2KM; PARAF_MN_3KM; PARAF_MN_4KM; PARAF_MN_5KM; PROXF_MN_1KM; PROXF_MN_2KM; PROXF_MN_3KM; PROXF_MN_4KM; PROXF_MN_5KM; ENNF_MN_1KM; ENNF_MN_2KM; ENNF_MN_3KM; ENNF_MN_4KM; ENNF_MN_5KM; CONNECTF_1KM; CONNECTF_2KM; CONNECTF_3KM; CONNECTF_4KM; CONNECTF_5KM;PR_1KM;PR_2KM;PR_3KM;PR_4KM;PR_5KM;SHDI_1KM;SHDI_2KM;SHDI_3KM;SHDI_4KM;SHDI_5KM;SHEI_1KM;SHEI_2KM;SHEI_3KM;SHEI_4KM;SHEI_5KM;II_1KM;II_2KM;II_3KM;II_4KM;II_5KM
SU01;SU01_BRE.MAZ;Londrina;-23.4826;-51.27527;1000;60000;40.606;24.627;1477.614;0.875;2;11.416;19.345;27.543;28.441;28.095;35.55;239.76;769.14;1413.81;2181.96;5;22;40;67;112;1.606;1.775;1.432;1.348;1.442;8940;48450;114270;180780;273900;28.709;39.092;40.92;36.367;35.267;415.596;530.151;489.509;501.229;492.935;1.453;40.946;251.82;327.334;207.365;365.961;144.001;143.114;158.092;166.941;100;61.472;40.256;26.187;18.565;4;6;6;6;7;1.008;1.147;1.242;1.191;1.184;0.7271;0.6401;0.693;0.6645;0.6086;7.759;4.169;2.631;2.516;2.559
SU02;SU02_DAN.ASS;GrandesRios;-24.1385;-51.50886;130;7800;6.574;19.775;1186.492;0.75;3;5.206;7.74;9.043;11.775;11.845;16.29;96.3;252.9;584.82;919.44;7;34;83;143;214;2.237;2.733;2.968;2.879;2.757;7050;34770;84150;156300;254820;22.529;27.947;30.089;31.471;32.829;653.551;630.106;624.224;590.054;551.73;0.549;4.238;8.804;15.471;18.168;395.612;217.034;168.867;154.977;155.152;100;56.328;32.677;22.299;15.524;7;7;8;8;8;1.206;1.35;1.344;1.345;1.311;0.6196;0.6937;0.6465;0.6466;0.6304;18.21;11.92;10.027;7.353;7.287
SU03;SU03_ROG.PIR;GrandesRios;-24.16819;-51.52806;500;30000;15.304;32.671;1960.272;0.875;2;5.131;17.917;17.37;15.895;15.403;16.02;223.11;485.91;789.39;1195.74;12;36;81;140;224;3.844;2.891;2.896;2.819;2.885;7590;49170;110460;198150;309660;24.311;39.486;39.486;39.898;39.888;603.256;544.537;553.377;528.519;525.145;0.957;20.654;35.8;33.249;30.277;213.797;153.254;148.018;152.798;154.984;100;64.603;36.235;23.895;15.999;5;6;8;8;9;0.958;1.143;1.334;1.436;1.388;0.5951;0.6381;0.6414;0.6905;0.6316;18.489;4.56;4.572;5.063;5.311
SU04;SU04_FER.MAC;SaoJeronimoSerra;-23.65686;-50.10981;500;30000;14.529;34.414;2064.836;0.75;3;23.584;13.169;12.226;13.77;13.835;73.44;163.35;341.28;684.81;1074.15;11;31;68;131;182;3.532;2.499;2.436;2.634;2.344;19560;46080;100710;208230;313350;62.813;37.15;36.077;41.871;40.358;591.507;555.331;580.922;570.583;543.866;30.649;25.761;19.659;23.328;27.114;126.936;138.726;151.838;119.181;138.416;100;70.108;38.367;22.666;17.57;5;6;7;8;8;1.357;1.221;1.286;1.358;1.346;0.8433;0.6813;0.6608;0.6531;0.6471;3.24;6.593;7.18;6.261;6.225
SU05;SU05_SEV.NAS;Cianorte;-23.89026;-52.61441;50;3000;3.679;13.591;815.439;0.5;2;7.044;6.364;7.723;8.927;11.581;21.87;79.11;215.91;443.97;899.37;11;30;65;118;153;3.543;2.413;2.325;2.373;1.97;9270;30990;83700;163500;257880;29.855;24.93;29.94;32.874;33.207;672.597;575.15;636.804;682.414;615.869;2.549;4.707;11.896;19.817;31.265;220.87;185.204;137.605;148.765;150.399;100;67.356;32.981;20.817;17.191;5;8;8;8;8;1.246;1.286;1.431;1.478;1.612;0.7743;0.6184;0.6884;0.7109;0.7754;13.197;14.713;11.948;10.202;7.635
SU06;SU06_MAR.GOM;Londrina;-23.70314;-51.12636;160;9600;3.424;46.729;2803.738;0.625;2;13.819;12.765;11.458;10.345;11.706;43.02;158.13;319.86;514.44;908.37;6;35;77;116;187;1.927;2.825;2.758;2.333;2.41;12240;46740;98190;157800;260220;39.318;37.731;35.172;31.733;33.535;492.484;560.882;520.51;499.271;514.006;4.692;14.164;14.121;14.694;18.856;245.093;144.903;146.689;142.861;135.783;100;57.311;37.355;25.577;15.686;8;8;8;8;8;1.211;1.217;1.161;1.217;1.247;0.5824;0.5854;0.5585;0.5852;0.5996;6.222;6.802;7.713;8.65;7.532
SU07;SU07_CLA_TER;GrandesRios;-24.16892;-51.5461;90;5400;3.084;29.183;1750.973;0.875;2;29.254;21.41;19.614;18.026;18.115;91.44;266.76;548.37;895.23;1406.34;16;44;96;161;244;5.119;3.531;3.434;3.242;3.143;20970;60270;134400;225390;361110;67.089;48.372;48.073;45.382;46.516;552.063;560.41;546.416;513.301;516.897;23.222;30.181;29.343;26.485;31.152;127.109;133.838;126.243;129.81;123.58;100;65.011;35.768;24.387;17.122;6;6;6;7;8;1.263;1.244;1.295;1.307;1.386;0.7046;0.6941;0.7229;0.6715;0.6665;2.28;3.404;3.858;4.36;4.342
SU08;SU08_EVA.PAD;SaoJeronimoSerra;-23.65889;-50.80306;300;18000;10.184;29.458;1767.478;0.625;2;11.595;13.385;13.622;18.046;19.495;36.18;165.87;380.25;897.48;1513.44;8;31;74;124;172;2.564;2.502;2.651;2.493;2.216;10740;46830;121260;234180;345480;34.42;37.79;43.439;47.087;44.503;522.457;638.66;566.188;590.253;559.046;9.429;16.902;16.005;46.24;91.873;141.243;141.844;128.832;128.378;126.283;100;52.903;34.321;24.705;17.782;6;7;7;7;8;1.319;1.439;1.418;1.509;1.519;0.736;0.7393;0.7288;0.7755;0.7307;7.624;6.466;6.338;4.537;4.126
SU09;SU09_GUI.FRA;Pinhalao;-23.89609;-50.05604;150;9000;3.53;42.493;2549.575;0.875;1;11.367;18.923;19.836;19.247;20.199;35.55;235.53;553.59;956.16;1567.98;14;39;87;149;209;4.476;3.133;3.117;2.999;2.692;12330;60540;147420;255360;402780;39.425;48.638;52.822;51.403;51.886;604.41;585.386;537.635;517.639;519.191;4.559;27.994;28.848;33.854;43.455;142.97;132.781;127.925;126.658;127.685;100;60.864;35.659;23.173;16.861;7;7;7;7;8;1.353;1.241;1.384;1.411;1.483;0.6952;0.6379;0.711;0.7251;0.7131;7.797;4.285;4.041;4.196;3.949
SU10;SU10_PAB.SAN;Congonhinhas;-23.50833;-50.47231;400;24000;8.557;46.745;2804.721;0.75;5;24.668;21.711;23.48;18.791;17.098;76.95;269.91;656.73;933.12;1327.77;9;38;82;143;212;2.885;3.057;2.932;2.88;2.73;16770;63000;140400;217020;316440;53.76;50.677;50.196;43.703;40.75;521.451;503.335;570.802;571.989;548.962;20.574;23.323;30.871;39.793;35.246;113.404;127.94;114.314;135.463;138.112;100;58.748;37.579;25.027;17.406;5;5;6;7;7;1.296;1.486;1.508;1.489;1.465;0.8054;0.9233;0.8418;0.7654;0.7527;3.054;3.606;3.258;4.321;4.847
