Code,City,Prod_tn,Tree,Area_ha,Prod_kg,ProdArea,ProdArea_kg, PR , SHDI , SHEI,CAF, PLANDF, NPF , PDF, TEF, EDF , PARAF_MN , PROXF_MN , ENNF_MN , CONNECTF,II
01_CNR,Cianorte,1103,1969000,596,1103000,1.851,1850.671141,10,1.725,0.749,11581.92,14.277,945,1.165,2050080,25.271,534.681,63.058,151.803,9.761,6.002
02_GRS,GrandesRios,2853,2498000,1182,2853000,2.414,2413.705584,9,1.328,0.6043,5057.28,16.277,846,2.723,1230540,39.605,579.162,43.892,140.83,18.539,5.076
03_LND,Lidianopolis,659,627000,311,659000,2.119,2118.971061,9,1.453,0.6614,25753.5,15.622,2959,1.795,4898490,29.713,517.688,80.675,156.059,4.538,5.353
04_RAL,RanchoAlegre,22,51000,8,22000,2.75,2750,8,0.904,0.4345,637.2,3.831,169,1.016,173040,10.404,551.378,4.805,296.218,29.424,23.136
05_SJS,SaoJeronimoSerra,1326,4372000,1137,1326000,1.166,1166.226913,9,1.599,0.7278,22912.56,27.862,1851,2.251,4519110,54.952,583.381,623.279,113.98,8.95,2.574
06_SSA,SaoSebastiaoAmoreira,29,74000,22,29000,1.318,1318.181818,9,1.173,0.5336,2287.62,10.004,325,1.421,476640,20.844,541.102,27.443,175.728,24.243,8.942
07_NAC,NovaAmericaColina,79,216000,79,79000,1,1000,9,1.527,0.6949,1667.52,12.897,266,2.057,416970,32.25,519.111,20.773,158.162,38.876,6.741
08_SMR,SantaMariana,736,2178000,537,736000,1.371,1370.577281,11,1.116,0.4653,3870.27,9.061,401,0.939,601440,14.08,586.036,25.768,220.128,14.454,9.859
09_CNG,Congonhinhas,1018,2390000,740,1018000,1.376,1375.675676,10,1.58,0.6861,8726.94,16.272,1317,2.456,2084310,38.862,565.857,83.436,137.728,12.266,5.126
10_PNH,Pinhalao,5380,4807000,1633,5380000,3.295,3294.549908,8,1.513,0.7276,4520.25,20.483,595,2.696,1091040,49.439,557.771,90.137,132.524,22.865,3.88
11_TMZ,Tomazina,2866,3553000,1164,2866000,2.462,2462.199313,9,1.255,0.5709,7945.92,13.445,1411,2.387,2070420,35.031,511.444,28.645,152.105,11.283,6.418
12_RCL,RibeiraoClaro,1528,1595000,826,1528000,1.85,1849.878935,11,1.164,0.4855,6230.07,9.856,959,1.517,1332540,21.081,497.219,26.42,198.841,12.426,7.406
13_CRL,Carlopolis,7178,13783000,2430,7178000,2.954,2953.909465,11,1.277,0.5323,2343.87,5.229,694,1.548,674220,15.041,496.078,8.262,212.379,17.961,14.478
14_SJP,SaoJorgePatrocinio,853,1611000,505,853000,1.689,1689.108911,12,1.497,0.6025,3027.06,7.461,435,1.072,733560,18.081,551.094,61.256,165.221,14.501,11.197
15_ALT,Altonia,288,519000,212,288000,1.358,1358.490566,11,1.613,0.6727,6160.68,9.298,1058,1.597,1758120,26.536,568.254,27.954,152.732,10.26,8.922
16_UMR,Umuarama,204,335000,167,204000,1.222,1221.556886,10,1.209,0.5253,10784.16,8.746,1311,1.063,1980450,16.061,500.928,27.485,211.727,6.113,10.431
17_LDN,Londrina,1261,1941000,949,1261000,1.329,1328.767123,8,1.309,0.6294,1603.8,10.059,418,2.622,464700,29.147,544.961,13.325,162.383,33.248,8.681
18_IVP,Ivaipora,2223,2024000,878,2223000,2.532,2531.890661,8,1.258,0.6047,4235.67,9.807,1204,2.788,1334220,30.892,548.365,13.802,153.773,14.538,9.124
19_APC,Apucarana,3452,4632000,1764,3452000,1.957,1956.9161,9,1.484,0.6752,9534.87,17.057,1377,2.463,2334360,41.758,529.856,50.682,127.676,11.836,4.855
20_CMB,Cambira,1397,2076000,751,1397000,1.86,1860.186418,9,1.409,0.6414,2066.58,12.695,473,2.906,617610,37.94,540.156,19.39,143.365,29.428,6.876
21_MND,Mandaguari,1877,2458000,940,1877000,1.997,1996.808511,9,1.591,0.7242,4167,12.4,807,2.402,1139700,33.916,552.845,20.235,150.495,16.03,7.061
22_RLN,Rolandia,891,1128000,450,891000,1.98,1980,9,1.012,0.4608,3545.01,7.708,557,1.211,914700,19.889,500.827,15.665,183.212,14.784,11.963
23_IBT,Ibaiti,2929,4155000,1441,2929000,2.033,2032.616239,9,1.309,0.5956,13852.26,15.444,2060,2.297,3097290,34.532,506.62,36.722,146.848,8.317,5.468
24_SAP,SantoAntonioPlatina,1307,2434000,717,1307000,1.823,1822.873082,9,1.31,0.5962,4947.84,6.861,1065,1.477,1317990,18.276,528.948,13.609,208.26,9.142,13.518
25_ABT,Abatia,1404,2279000,684,1404000,2.053,2052.631579,9,1.375,0.6258,1378.17,6.025,429,1.875,441750,19.311,556.896,7.061,222.852,21.896,15.534
26_SCM,SiqueiraCampos,592,920000,332,592000,1.783,1783.13253,10,1.131,0.4912,2675.16,9.659,819,2.957,846660,30.57,524.523,9.268,167.54,19.865,9.26
27_CPR,CornelioProcopio,317,1755000,456,317000,0.695,695.1754386,9,1.449,0.6593,8080.56,12.745,946,1.492,1610280,25.399,516.942,40.969,173.526,10.89,6.817
28_JBT,Jaboti,1378,1709000,493,1378000,2.795,2795.131846,9,1.151,0.5236,1182.87,8.477,360,2.58,364620,26.13,555.998,8.254,184.898,36.066,10.783
29_CMB,Cambe,610,870000,313,610000,1.949,1948.881789,9,0.841,0.3829,3353.4,6.776,552,1.115,713070,14.408,505.665,10.446,213.847,12.088,13.744
30_PTN,Pitangueiras,625,1288000,303,625000,2.063,2062.706271,9,0.81,0.3688,600.12,4.865,149,1.208,175410,14.219,540.681,8.663,240.073,37.929,19.555
